Zip,HOMEM,LA/RO,FORD,BUICK,CHEVR,DODGE,PORSC,INTER,ME/BE,JEEP,GMC,BMW,POLAR,KAWAS,HA/DA,VOLKS,CHRYS,VOLVO,LINCO,CADIL,NISSA,YAMAH,HONDA,TOYOT,AUDI,SUBAR,CA/ON,TESLA,MAZDA,FREIG,MITSU,LEXUS,HYUND,KIA,RAM,INFIN,ACURA,Median Income Per Person
11220,0,48,1266,31,554,257,75,24,646,443,173,594,1,29,37,287,126,92,47,101,1296,74,2723,3823,268,394,0,109,383,47,74,1106,456,217,96,178,427,62804.0
12747,17,3,137,10,139,50,1,1,26,54,35,11,17,1,19,29,9,6,9,9,69,8,121,153,13,84,18,2,20,2,4,12,60,28,30,8,16,55588.0
12412,7,2,88,1,49,16,2,3,4,36,26,12,2,0,9,26,6,16,0,2,35,1,44,74,8,58,5,6,5,0,1,1,33,18,15,1,2,64286.0
12068,32,3,403,24,516,101,0,25,15,171,75,23,38,9,71,39,41,3,8,8,135,27,182,228,9,97,37,2,15,2,13,8,64,78,84,1,9,66274.0
13861,5,1,89,11,85,17,0,12,1,28,20,2,9,7,8,14,11,6,3,2,31,2,58,60,2,48,10,1,6,13,0,3,24,13,18,0,3,54695.0
12494,9,0,95,4,46,20,4,11,8,21,32,14,1,1,8,40,5,16,1,1,43,4,58,91,14,87,11,2,7,2,1,4,22,13,19,2,3,135693.0
12950,10,0,151,15,133,41,0,3,1,41,25,3,6,2,23,7,8,6,2,0,32,10,40,40,1,23,25,1,5,1,10,0,13,10,55,0,1,75438.0
10458,0,41,830,38,520,245,12,2,283,398,124,255,0,10,15,133,104,20,24,54,749,35,2051,1754,74,196,1,53,113,13,92,147,332,244,59,75,318,41550.0
13843,15,1,240,26,291,72,3,11,8,92,75,16,16,16,23,32,19,3,11,8,85,13,81,108,3,93,29,1,12,2,14,3,33,32,57,2,4,71975.0
12980,23,0,171,15,181,48,0,8,2,59,92,5,36,8,36,15,13,5,3,4,23,37,51,104,2,70,27,0,3,2,6,2,30,22,44,0,0,59438.0
12484,11,11,265,18,204,67,9,18,36,132,88,72,4,5,30,77,27,45,5,11,140,19,239,391,61,356,31,27,41,9,5,26,107,62,85,3,19,87321.0
14879,31,0,306,38,359,112,2,2,6,130,100,4,12,3,44,22,39,5,8,10,119,18,67,114,9,55,56,0,9,9,10,4,69,28,74,1,1,59214.0
12837,14,0,126,2,106,43,0,10,1,50,23,5,10,7,8,11,14,2,0,2,23,10,50,59,5,43,17,0,6,1,6,0,17,13,41,1,2,74327.0
14548,45,1,504,70,734,138,5,15,14,171,184,25,60,18,117,49,42,9,12,17,130,38,223,269,12,188,75,3,35,6,13,7,166,105,107,6,5,74428.0
12563,12,13,584,51,744,167,15,43,131,371,164,179,30,29,82,183,41,75,11,55,278,29,997,797,96,673,44,53,143,59,24,89,372,149,122,26,83,95088.0
12470,9,2,51,6,62,16,2,5,3,19,20,9,4,4,9,10,4,6,2,3,22,3,37,32,1,44,4,0,4,0,4,2,8,15,13,4,0,79063.0
10302,4,42,1053,64,658,284,16,3,254,510,248,236,5,28,56,198,116,34,73,83,942,20,1251,1313,81,278,5,43,215,7,64,228,545,310,148,122,143,75588.0
12464,5,5,88,8,53,21,10,3,12,53,36,18,5,1,16,44,11,10,2,3,45,4,77,114,13,94,5,5,5,0,5,7,27,20,14,2,5,57250.0
