placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person
zip/12886,12886,2022,231,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,117739,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,50385,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12887,12887,2022,4720,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,61094,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,33559,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12901,12901,2022,32431,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,57811,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,31416,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12903,12903,2022,1705,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,76027,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,52404,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12910,12910,2022,1886,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,58304,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,27679,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12911,12911,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2012,64659,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2018,27031,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12912,12912,2022,1809,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,70938,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,37114,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12913,12913,2022,1077,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,68182,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,36287,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12914,12914,2022,876,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,47083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,21103,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12915,12915,2022,58,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,34375,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,40903,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
